ID,name,location,type,adname,address,X,Y
480,荣喜一肉制品厂,"116.732141,23.468816",公司企业;公司;冶金化工,澄海区,澄华路与文华南路交叉口东北150米处,116.732141,23.468816
481,裕源印刷厂,"116.722490,23.486618",公司企业;公司;冶金化工,澄海区,X051(澄海公路),116.72249,23.486618
482,汕头市澄海区恒骏塑胶制品厂,"116.781766,23.446073",公司企业;公司;冶金化工,澄海区,凤新一路与莱美路交界桥南侧,116.781766,23.446073
483,众鑫隆自动机厂,"116.812481,23.441014",公司企业;公司;冶金化工,澄海区,凤翔街道洲畔社区高茂坝凤翔路旁,116.812481,23.441014
484,丹艺彩绘厂,"116.821265,23.476028",公司企业;公司;冶金化工,澄海区,金成路海后综合市场东侧约270米,116.821265,23.476028
485,玖壹塑胶制品厂,"116.789564,23.477982",公司企业;公司;冶金化工,澄海区,延德路,116.789564,23.477982
486,钰煌玩具一厂,"116.781306,23.484938",公司企业;公司;冶金化工,澄海区,莲下镇蔡寮槐南工业道欣悦购物附近,116.781306,23.484938
487,雄腾印刷厂,"116.768340,23.520172",公司企业;公司;冶金化工,澄海区,莲下镇银溪村莲南工业区,116.76834,23.520172
488,荣中塑料厂,"116.820617,23.475221",公司企业;公司;冶金化工,澄海区,金成路海后综合市场东侧约210米,116.820617,23.475221
489,欢乐迪玩具,"116.734156,23.580679",公司企业;公司;冶金化工,澄海区,龙都镇下北村云路乡道(321省道东90米左右),116.734156,23.580679
490,鸿嘉摩托车配件厂,"116.802603,23.571842",公司企业;公司;冶金化工,澄海区,莲华镇隆南村草洋仔,116.802603,23.571842
491,陈业塑胶制品厂,"116.771435,23.572175",公司企业;公司;冶金化工,澄海区,潮汕环线高速(上西小学东北侧约50米),116.771435,23.572175
492,莲东五金厂,"116.810161,23.585299",公司企业;公司;冶金化工,澄海区,东浦村,116.810161,23.585299
493,汕头市澄海区盛发毛料厂,"116.733728,23.465673",公司企业;公司;冶金化工,澄海区,兴业路10号,116.733728,23.465673
494,汕头市澄海区松达印刷厂,"116.762351,23.476954",公司企业;公司;冶金化工,澄海区,阜安路宜嘉名都西侧约30米,116.762351,23.476954
