ID,name,location,type,adname,address,X,Y
2035,勇龙精密牙箱厂,"116.779560,23.448632",公司企业;工厂;工厂,澄海区,莱美路附近,116.77956,23.448632
2036,雅涵毛纺织工艺厂,"116.716716,23.507957",公司企业;工厂;工厂,澄海区,上华镇菊池村菊馨中路南4巷1号,116.716716,23.507957
2037,陈翔玩具,"116.775072,23.474205",公司企业;工厂;工厂,澄海区,广益街道埔美振兴路新区16巷19号,116.775072,23.474205
2038,友谊模具,"116.745991,23.468770",公司企业;工厂;工厂,澄海区,澄华街道文冠路,116.745991,23.46877
2039,宝彤玩具,"116.732031,23.475206",公司企业;工厂;工厂,澄海区,澄海工业区西侧,116.732031,23.475206
2040,峰泽信制品厂,"116.758776,23.494876",公司企业;工厂;工厂,澄海区,登峰路华东路段,116.758776,23.494876
2041,锋速玩具厂,"116.757249,23.458700",公司企业;工厂;工厂,澄海区,永安路1号之2,116.757249,23.4587
2042,文盛实业第二车间,"116.780202,23.471807",公司企业;工厂;工厂,澄海区,外环北路6巷一号,116.780202,23.471807
2043,树嵘吸塑厂,"116.769658,23.472833",公司企业;工厂;工厂,澄海区,宁川北路与巷口堤交叉口西约80米,116.769658,23.472833
2044,恒凯玩具厂,"116.758282,23.500435",公司企业;工厂;工厂,澄海区,广益街道北陇华东路南砂堆,116.758282,23.500435
2045,赤盈印刷厂,"116.828872,23.435450",公司企业;工厂;工厂,澄海区,凤翔街道涂池村文安路南横南8巷9号,116.828872,23.43545
2046,澄海亿佳玩具厂,"116.783521,23.445316",公司企业;工厂;工厂,澄海区,S336(莱美路),116.783521,23.445316
2047,权青玩具厂,"116.780488,23.463811",公司企业;工厂;工厂,澄海区,仁泰路1号,116.780488,23.463811
2048,明达成橡胶材料制品厂,"116.783645,23.461154",公司企业;工厂;工厂,澄海区,凤翔街道仙居侨路西2号,116.783645,23.461154
2049,锦丹玩具厂,"116.777832,23.490917",公司企业;工厂;工厂,澄海区,莲下镇老国道西二路3号,116.777832,23.490917
2050,澄海区邦远玩具厂,"116.773093,23.473667",公司企业;工厂;工厂,澄海区,埔美美新路14号34号一大门,116.773093,23.473667
2051,柏辉玩具厂,"116.782231,23.444457",公司企业;工厂;工厂,澄海区,莱美路协和工业园,116.782231,23.444457
2052,诚信EVA制品厂,"116.762019,23.497826",公司企业;工厂;工厂,澄海区,广益街道内陇村西片区,116.762019,23.497826
2053,砂都玩具厂,"116.773461,23.472320",公司企业;工厂;工厂,澄海区,美兴直路1号,116.773461,23.47232
2054,雅岚玩具厂,"116.782852,23.488075",公司企业;工厂;工厂,澄海区,S231(莲凤路),116.782852,23.488075
2055,飞林玩具厂,"116.787890,23.483426",公司企业;工厂;工厂,澄海区,镀亭工业区,116.78789,23.483426
2056,竣新塑料加工厂,"116.765577,23.485307",公司企业;工厂;工厂,澄海区,广益街道华富华新园47幢5号,116.765577,23.485307
2057,广彤玩具厂,"116.758845,23.501308",公司企业;工厂;工厂,澄海区,广益街道北陇桂华路16号,116.758845,23.501308
2058,瀚星玩具厂,"116.787028,23.484664",公司企业;工厂;工厂,澄海区,南强路14号,116.787028,23.484664
2059,美宜居衣柜厨柜厂,"116.789571,23.483841",公司企业;工厂;工厂,澄海区,连南路下镇客运站南侧约22,116.789571,23.483841
2060,双华牙箱厂(玩具配件),"116.810979,23.465573",公司企业;工厂;工厂,澄海区,莲下镇南湾村红旗路,116.810979,23.465573
2061,正峰玩具厂,"116.754317,23.492646",公司企业;工厂;工厂,澄海区,登峰路与怀汉路交叉口东北约220米,116.754317,23.492646
2062,澄海县奥迪塑胶玩具厂,"116.762449,23.46201",公司企业;工厂;工厂,澄海区,西门企溪工业区3幢2,116.762449,23.46201
2063,佳晨玩具厂,"116.777647,23.492836",公司企业;工厂;工厂,澄海区,园林二路13号,116.777647,23.492836
2064,澄海华兴电子厂,"116.793935,23.483987",公司企业;工厂;工厂,澄海区,南成路洲东五金东侧约140米,116.793935,23.483987
2065,亮亮纸箱厂,"116.814250,23.465750",公司企业;工厂;工厂,澄海区,凤南路与南北路交叉口南500米,116.81425,23.46575
2066,俊业纸制品加工厂,"116.764226,23.500555",公司企业;工厂;工厂,澄海区,广益街道北陇莲河西路,116.764226,23.500555
2067,新致美玩具厂,"116.765010,23.498919",公司企业;工厂;工厂,澄海区,,116.76501,23.498919
2068,汕头市澄海区玩具厂,"116.800925,23.478669",公司企业;工厂;工厂,澄海区,莲下镇南成路工业区,116.800925,23.478669
2069,晨星玩具厂,"116.757883,23.503493",公司企业;工厂;工厂,澄海区,湖东路4,116.757883,23.503493
2070,辰迪塑胶玩具厂,"116.776716,23.494998",公司企业;工厂;工厂,澄海区,莲下镇莲凤西路东宇电器2楼,116.776716,23.494998
2071,澄海抖乐玩具厂,"116.741336,23.478072",公司企业;工厂;工厂,澄海区,广益街道沙港路9横巷4号,116.741336,23.478072
2072,重博鸿玩具厂,"116.793824,23.484041",公司企业;工厂;工厂,澄海区,莲下镇陈厝洲工素祖园5路,116.793824,23.484041
2073,洛儿乐玩具厂,"116.787154,23.447841",公司企业;工厂;工厂,澄海区,凤新二路万田检测中心正对面,116.787154,23.447841
2074,毛织加工厂,"116.817405,23.406128",公司企业;工厂;工厂,澄海区,中阳大道辅路与梅峰路交叉口西360米,116.817405,23.406128
2075,诺贝妮玩具厂,"116.749116,23.496951",公司企业;工厂;工厂,澄海区,广益街道龙坑社区大洋工业区26号,116.749116,23.496951
2076,华鑫宝玩具厂,"116.821842,23.434482",公司企业;工厂;工厂,澄海区,莱芜中学西南110米(S336北),116.821842,23.434482
2077,鸿润纸箱厂,"116.749685,23.474831",公司企业;工厂;工厂,澄海区,玉南路5横1座,116.749685,23.474831
2078,永诚玩具厂,"116.797271,23.482656",公司企业;工厂;工厂,澄海区,莲下镇陈厝洲村自留地,116.797271,23.482656
2079,锴达吸塑厂,"116.837112,23.443686",公司企业;工厂;工厂,澄海区,坝头百二乡,116.837112,23.443686
2080,万天顺玩具厂,"116.740599,23.478165",公司企业;工厂;工厂,澄海区,丰迪·尚景康城东区,116.740599,23.478165
2081,润源玩具,"116.814551,23.471679",公司企业;工厂;工厂,澄海区,莲下镇南湾村后铺,116.814551,23.471679
2082,博嵘航模玩具厂,"116.792357,23.488134",公司企业;工厂;工厂,澄海区,莲下镇莲东路新寮路段,116.792357,23.488134
2083,盛帆玩具,"116.764840,23.486075",公司企业;工厂;工厂,澄海区,广益街道华富华新园41栋二号,116.76484,23.486075
2084,沛群制袋厂,"116.817701,23.469265",公司企业;工厂;工厂,澄海区,莲下镇海后村环南路西,116.817701,23.469265
2085,澄海钟总模具厂,"116.741212,23.479152",公司企业;工厂;工厂,澄海区,南田路与玉南路交叉口南120米,116.741212,23.479152
